p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
False,frame_lock,False,0,,12,0,False,13798345,,ok,93702,0,7551005502,2019-03-28 21:36:00,13.756494444444,Sebnitzer Straße 18,True,True,True,1,end,dresden,0,BIKE 93702,15,51.068395555556,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13798345,,ok,93702,0,7551005502,2019-03-28 22:22:00,13.756494444444,Sebnitzer Straße 18,True,True,True,1,start,dresden,0,BIKE 93702,15,51.068395555556,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13799271,,ok,93702,0,7551005502,2019-03-28 22:28:00,13.745358888889,Lößnitzstraße,True,True,True,1,end,dresden,0,BIKE 93702,15,51.068417777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13799271,,ok,93702,0,7551005502,2019-03-28 23:59:00,13.745486666667,Dr.-Friedrich-Wolf-Straße 30,True,True,True,1,last,dresden,0,BIKE 93702,15,51.068164444444,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13768822,,ok,93796,0,7551005286,2019-03-28 00:00:00,13.746648888889,,True,True,True,1,first,dresden,0,BIKE 93796,15,51.058328888889,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13772623,,ok,93796,0,7551005286,2019-03-28 06:10:00,13.745318888889,,True,True,True,1,last,dresden,0,BIKE 93796,15,51.057,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13768858,,ok,93393,0,7551003834,2019-03-28 00:00:00,13.739155555556,,True,True,True,1,first,dresden,0,BIKE 93393,0,51.070417777778,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13768858,,ok,93393,0,7551003834,2019-03-28 08:03:00,13.738503333333,,True,True,True,1,start,dresden,0,BIKE 93393,0,51.070737777778,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4327,False,121771,,ok,93393,0,7551003834,2019-03-28 08:09:00,13.750328421593,,True,True,False,3,end,dresden,0,Schauburg,0,51.071143657107,0,"{""undefined"": 2, ""15"": 1}"
True,frame_lock,False,0,,0,4327,False,121771,"{""percentage"": 0}",ok,93393,0,7551003834,2019-03-28 10:21:00,13.750328421593,,True,True,False,4,start,dresden,0,Schauburg,0,51.071143657107,0,"{""undefined"": 2, ""15"": 2}"
